"date","max_temperature_f","mean_temperature_f","min_temperature_f","max_visibility_miles","mean_visibility_miles","min_visibility_miles","max_wind_Speed_mph","mean_wind_speed_mph","max_gust_speed_mph","precipitation_inches","cloud_cover","events","zip_code","city"
"1/10/2014",64,53,41,10,10,8,10,2,12,"0",2,"",94301,"Palo Alto"
"1/11/2014",59,52,44,10,10,8,15,2,20,"0",3,"",94301,"Palo Alto"
"1/12/2014",60,51,42,10,10,9,13,3,17,"0",2,"",94301,"Palo Alto"
"1/13/2014",68,57,45,10,10,10,8,3,14,"0",0,"",94301,"Palo Alto"
"1/14/2014",74,59,44,10,10,10,16,5,24,"0",0,"",94301,"Palo Alto"
"1/15/2014",72,58,43,10,10,8,8,1,9,"0",0,"",94301,"Palo Alto"
"1/16/2014",73,57,41,10,10,10,10,1,12,"0",0,"",94301,"Palo Alto"
"1/17/2014",68,55,41,10,9,7,8,1,13,"0",0,"",94301,"Palo Alto"
"1/18/2014",71,55,39,10,10,8,10,1,23,"0",0,"",94301,"Palo Alto"
"1/19/2014",67,53,38,10,10,7,9,1,10,"0",0,"",94301,"Palo Alto"
"1/20/2014",71,55,39,10,10,8,8,1,9,"0",0,"",94301,"Palo Alto"
"1/21/2014",68,54,40,10,10,10,8,1,9,"0",0,"",94301,"Palo Alto"
"1/22/2014",74,57,40,10,10,9,12,1,13,"0",0,"",94301,"Palo Alto"
"1/23/2014",68,55,41,10,9,6,9,2,13,"0",0,"",94301,"Palo Alto"
"1/24/2014",66,54,42,10,7,2,6,1,16,"0",0,"",94301,"Palo Alto"
"1/25/2014",72,59,45,10,10,7,9,1,12,"0",0,"",94301,"Palo Alto"
"1/26/2014",70,58,46,10,10,9,8,2,16,"0",0,"",94301,"Palo Alto"
"1/27/2014",62,55,47,10,5,0,9,2,23,"0",5,"Fog",94301,"Palo Alto"
"1/28/2014",66,57,48,10,10,6,13,3,15,"T",4,"Rain",94301,"Palo Alto"
"1/29/2014",68,62,56,10,9,4,15,5,18,"0.01",5,"Rain",94301,"Palo Alto"
"1/30/2014",62,58,53,10,10,7,17,5,21,"0.04",5,"Rain",94301,"Palo Alto"
"1/31/2014",61,53,45,10,10,10,15,5,26,"0.01",2,"",94301,"Palo Alto"
"2/1/2014",60,49,38,10,10,10,12,3,16,"0",0,"",94301,"Palo Alto"
"2/2/2014",55,49,42,10,10,7,24,7,32,"0.09",5,"Rain",94301,"Palo Alto"
"2/3/2014",57,50,42,10,10,10,15,5,20,"0",2,"",94301,"Palo Alto"
"2/4/2014",55,47,38,10,10,10,13,4,30,"0",0,"",94301,"Palo Alto"
"2/5/2014",57,47,37,10,10,10,15,5,17,"0.01",4,"Rain",94301,"Palo Alto"
"2/6/2014",56,52,47,10,10,7,21,8,28,"0.53",8,"Rain",94301,"Palo Alto"
"2/7/2014",56,53,50,10,10,10,26,9,38,"0.07",6,"Rain",94301,"Palo Alto"
"2/8/2014",65,60,54,10,10,10,21,11,26,"0.04",7,"Rain",94301,"Palo Alto"
"2/9/2014",67,63,59,10,10,9,16,7,22,"0.03",7,"Rain",94301,"Palo Alto"
"2/10/2014",61,57,52,10,9,2,12,4,25,"0.02",6,"Rain",94301,"Palo Alto"
"2/11/2014",60,55,49,10,7,0,12,3,15,"0",4,"Fog",94301,"Palo Alto"
"2/12/2014",61,55,49,10,9,5,10,2,14,"0",3,"",94301,"Palo Alto"
"2/13/2014",70,60,49,10,8,0,12,3,26,"0",3,"Fog",94301,"Palo Alto"
"2/14/2014",64,59,53,10,8,2,13,3,15,"0",7,"",94301,"Palo Alto"
"2/15/2014",64,57,50,10,10,10,16,3,21,"0.01",2,"Rain",94301,"Palo Alto"
"2/16/2014",64,57,50,10,10,4,14,5,17,"0.04",2,"Rain",94301,"Palo Alto"
"2/17/2014",62,52,42,10,10,10,20,4,22,"0",0,"",94301,"Palo Alto"
"2/18/2014",65,54,43,10,10,10,16,3,21,"0",0,"",94301,"Palo Alto"
"2/19/2014",65,58,50,10,10,4,17,7,20,"0.01",3,"Rain",94301,"Palo Alto"
"2/20/2014",69,57,45,10,10,10,13,4,17,"0",0,"",94301,"Palo Alto"
"2/21/2014",73,58,43,10,10,10,12,3,14,"0",0,"",94301,"Palo Alto"
"2/22/2014",71,58,44,10,10,10,15,4,17,"0",0,"",94301,"Palo Alto"
"2/23/2014",68,59,49,10,9,7,13,3,16,"0",3,"",94301,"Palo Alto"
"2/24/2014",74,60,45,10,10,10,13,3,15,"0",0,"",94301,"Palo Alto"
"2/25/2014",64,56,47,10,9,7,14,5,28,"0",2,"",94301,"Palo Alto"
"2/26/2014",62,58,54,10,8,2,26,10,38,"0.83",7,"Rain",94301,"Palo Alto"
"2/27/2014",66,60,54,10,10,8,22,8,32,"0.02",3,"Rain",94301,"Palo Alto"
"2/28/2014",64,59,54,10,8,2,25,10,32,"1.06",7,"Rain",94301,"Palo Alto"
"1/1/2014",59,46,34,10,8,6,14,2,14,"0",0,"",94041,"Mountain View"
"1/2/2014",64,48,37,10,10,8,14,1,14,"0",0,"",94041,"Mountain View"
"1/3/2014",62,49,39,10,10,8,14,1,14,"0",0,"",94041,"Mountain View"
"1/4/2014",64,49,39,10,10,7,14,1,14,"0",0,"",94041,"Mountain View"
"1/5/2014",64,47,34,10,10,10,14,2,28,"0",0,"",94041,"Mountain View"
"1/6/2014",60,48,38,10,10,9,14,1,14,"0",0,"",94041,"Mountain View"
"1/7/2014",61,50,43,10,9,6,14,1,14,"0",2,"",94041,"Mountain View"
"1/8/2014",59,52,45,10,8,2,14,2,14,"0",3,"",94041,"Mountain View"
"1/9/2014",60,50,44,10,9,2,14,2,114,"0",3,"",94041,"Mountain View"
"1/10/2014",63,49,40,10,10,8,14,1,14,"0",2,"",94041,"Mountain View"
"1/11/2014",59,49,43,10,10,8,20,1,20,"0",3,"",94041,"Mountain View"
"1/12/2014",59,48,41,10,10,9,15,3,15,"0",2,"",94041,"Mountain View"
"1/13/2014",67,51,41,10,10,10,14,6,14,"0",0,"",94041,"Mountain View"
"1/14/2014",71,54,41,10,10,10,14,6,28,"0",0,"",94041,"Mountain View"
"1/15/2014",70,52,40,10,10,8,28,4,28,"0",0,"",94041,"Mountain View"
"1/16/2014",70,52,38,10,10,10,28,4,28,"0",0,"",94041,"Mountain View"
"1/17/2014",68,50,37,10,9,7,28,6,28,"0",0,"",94041,"Mountain View"
"1/18/2014",69,49,36,10,10,8,14,4,28,"0",0,"",94041,"Mountain View"
"1/19/2014",68,48,35,10,10,7,14,5,28,"0",0,"",94041,"Mountain View"
"1/20/2014",69,50,36,10,10,8,14,4,28,"0",0,"",94041,"Mountain View"
"1/21/2014",68,49,36,10,10,10,14,5,14,"0",0,"",94041,"Mountain View"
"1/22/2014",71,50,36,10,10,9,14,5,14,"0",0,"",94041,"Mountain View"
"1/23/2014",66,51,38,10,9,6,14,5,14,"0",0,"",94041,"Mountain View"
"1/24/2014",64,50,39,10,7,2,14,6,28,"0",0,"",94041,"Mountain View"
"1/25/2014",72,54,43,10,10,7,14,3,28,"0",0,"",94041,"Mountain View"
"1/26/2014",70,54,44,10,10,9,14,3,14,"0",0,"",94041,"Mountain View"
"1/27/2014",62,53,47,10,5,0,14,3,14,"0",3,"",94041,"Mountain View"
"1/28/2014",66,57,48,10,10,6,14,4,14,"0",4,"",94041,"Mountain View"
"1/29/2014",68,60,56,10,9,4,14,2,14,"0",3,"",94041,"Mountain View"
"1/30/2014",64,56,52,10,10,7,14,3,14,"0.04",5,"Rain",94041,"Mountain View"
"1/31/2014",61,51,42,10,10,10,15,6,19,"0",2,"",94041,"Mountain View"
"2/1/2014",60,47,36,10,10,10,14,6,114,"0",0,"",94041,"Mountain View"
"2/2/2014",54,48,43,10,10,7,23,7,114,"0.08",5,"Rain",94041,"Mountain View"
"2/3/2014",57,48,41,10,10,10,16,3,18,"0",2,"",94041,"Mountain View"
"2/4/2014",56,46,38,10,10,10,14,2,14,"0",0,"",94041,"Mountain View"
"2/5/2014",58,47,36,10,10,10,14,3,14,"0",4,"",94041,"Mountain View"
"2/6/2014",56,51,46,10,10,7,21,5,86,"0.45",8,"Rain",94041,"Mountain View"
"2/7/2014",55,53,49,10,10,10,20,5,24,"0.04",6,"Rain",94041,"Mountain View"
"2/8/2014",65,59,54,10,10,10,20,7,25,"0.04",7,"Rain",94041,"Mountain View"
"2/9/2014",67,60,58,10,10,9,14,4,16,"0.02",7,"Rain",94041,"Mountain View"
"2/10/2014",61,56,51,10,9,2,14,2,14,"0",6,"",94041,"Mountain View"
"2/11/2014",62,54,48,10,7,0,10,1,14,"0",4,"Fog",94041,"Mountain View"
"2/12/2014",63,54,47,10,9,5,14,2,14,"0",3,"",94041,"Mountain View"
"2/13/2014",70,58,48,10,8,0,114,2,114,"0",3,"Fog",94041,"Mountain View"
"2/14/2014",64,58,50,10,8,2,14,2,15,"0",7,"",94041,"Mountain View"
"2/15/2014",62,55,47,10,10,10,14,1,14,"0",2,"",94041,"Mountain View"
"2/16/2014",64,56,47,10,10,4,14,4,14,"0.02",2,"Rain",94041,"Mountain View"
"2/17/2014",62,50,40,10,10,10,14,5,15,"0",0,"",94041,"Mountain View"
"2/18/2014",66,53,42,10,10,10,14,5,16,"0",0,"",94041,"Mountain View"
"2/19/2014",67,56,48,10,10,4,114,6,114,"0.02",3,"Rain",94041,"Mountain View"
"2/20/2014",69,54,42,10,10,10,14,4,14,"0",0,"",94041,"Mountain View"
"2/21/2014",73,55,41,10,10,10,14,2,14,"0",0,"",94041,"Mountain View"
"2/22/2014",71,55,43,10,10,10,14,2,14,"0",0,"",94041,"Mountain View"
"2/23/2014",70,56,46,10,9,7,14,2,14,"0",3,"",94041,"Mountain View"
"2/24/2014",75,57,42,10,10,10,14,3,14,"0",0,"",94041,"Mountain View"
"2/25/2014",66,56,47,10,9,7,14,4,17,"0",2,"",94041,"Mountain View"
"2/26/2014",62,56,53,10,8,2,28,8,86,"0.78",7,"Rain",94041,"Mountain View"
"2/27/2014",69,60,52,10,10,8,28,10,28,"0.02",3,"Rain",94041,"Mountain View"
"2/28/2014",62,56,53,10,8,2,20,6,86,"0.88",7,"Rain",94041,"Mountain View"
"1/1/2014",62,49,35,10,8,6,8,1,10,"0",2,"",95113,"San Jose"
"1/2/2014",65,52,38,10,10,9,8,1,13,"0",2,"",95113,"San Jose"
"1/3/2014",64,52,40,10,10,10,8,2,10,"0",3,"",95113,"San Jose"
"1/4/2014",66,52,38,10,10,10,8,3,12,"0",1,"",95113,"San Jose"
"1/5/2014",66,51,35,10,10,10,6,1,8,"0",0,"",95113,"San Jose"
"1/6/2014",62,50,38,10,10,10,9,1,12,"0",5,"",95113,"San Jose"
"1/7/2014",63,54,44,10,10,8,10,3,12,"0",4,"",95113,"San Jose"
"1/8/2014",58,54,50,10,8,2,14,5,16,"T",7,"Rain",95113,"San Jose"
"1/9/2014",59,53,46,10,8,1,18,4,21,"0.01",6,"Rain",95113,"San Jose"
"1/10/2014",62,52,41,10,10,10,8,2,13,"0",3,"",95113,"San Jose"
"1/11/2014",59,51,43,10,10,10,20,3,24,"0",4,"",95113,"San Jose"
"1/12/2014",60,52,43,10,10,9,17,6,22,"0",3,"",95113,"San Jose"
"1/13/2014",68,56,43,10,10,10,9,3,14,"0",0,"",95113,"San Jose"
"1/14/2014",76,57,37,10,10,10,17,3,24,"0",0,"",95113,"San Jose"
"1/15/2014",71,55,39,10,10,10,9,2,12,"0",0,"",95113,"San Jose"
"1/16/2014",73,56,39,10,10,10,8,1,10,"0",0,"",95113,"San Jose"
"1/17/2014",69,54,39,10,10,9,8,2,10,"0",0,"",95113,"San Jose"
"1/18/2014",70,54,37,10,10,9,7,1,12,"0",0,"",95113,"San Jose"
"1/19/2014",69,53,36,10,10,8,8,1,14,"0",1,"",95113,"San Jose"
"1/20/2014",69,54,38,10,10,10,7,1,10,"0",1,"",95113,"San Jose"
"1/21/2014",68,53,37,10,10,10,8,2,10,"0",3,"",95113,"San Jose"
"1/22/2014",72,55,38,10,10,10,9,3,13,"0",0,"",95113,"San Jose"
"1/23/2014",67,54,40,10,10,7,13,2,14,"0",0,"",95113,"San Jose"
"1/24/2014",65,53,40,10,8,6,6,1,8,"0",3,"",95113,"San Jose"
"1/25/2014",71,58,44,10,10,9,7,2,12,"0",1,"",95113,"San Jose"
"1/26/2014",71,58,45,10,10,9,10,4,14,"0",2,"",95113,"San Jose"
"1/27/2014",64,55,46,10,5,0,10,2,13,"0",7,"Fog",95113,"San Jose"
"1/28/2014",67,58,48,10,9,3,16,4,22,"0",7,"",95113,"San Jose"
"1/29/2014",68,62,55,10,7,2,16,4,20,"0.01",7,"Rain",95113,"San Jose"
"1/30/2014",60,56,51,10,10,7,14,8,,"0.1",6,"Rain",95113,"San Jose"
"1/31/2014",60,52,44,10,10,10,17,6,20,"0",3,"",95113,"San Jose"
"2/1/2014",60,49,37,10,10,10,13,4,16,"0",1,"",95113,"San Jose"
"2/2/2014",54,48,41,10,10,8,28,10,36,"0.08",5,"Rain",95113,"San Jose"
"2/3/2014",56,48,39,10,10,10,18,6,26,"0",3,"",95113,"San Jose"
"2/4/2014",56,46,36,10,10,10,14,5,17,"0",4,"",95113,"San Jose"
"2/5/2014",57,47,36,10,10,10,14,5,17,"0.01",6,"Rain",95113,"San Jose"
"2/6/2014",54,50,46,10,9,3,23,10,28,"0.61",7,"Rain",95113,"San Jose"
"2/7/2014",55,51,47,10,10,6,26,10,35,"0.14",7,"Rain",95113,"San Jose"
"2/8/2014",61,57,53,10,10,10,22,13,29,"0.02",7,"Rain",95113,"San Jose"
"2/9/2014",63,60,57,10,10,10,17,10,23,"0.05",8,"",95113,"San Jose"
"2/10/2014",62,57,51,10,9,2,14,5,16,"0.01",7,"",95113,"San Jose"
"2/11/2014",62,56,49,10,6,1,14,3,17,"0",7,"",95113,"San Jose"
"2/12/2014",63,56,49,10,8,3,12,3,14,"0",7,"",95113,"San Jose"
"2/13/2014",69,59,49,10,6,0,13,4,15,"0",5,"Fog",95113,"San Jose"
"2/14/2014",63,58,53,10,7,1,12,4,14,"T",7,"",95113,"San Jose"
"2/15/2014",63,56,48,10,10,10,18,6,23,"0.02",6,"Rain",95113,"San Jose"
"2/16/2014",63,55,47,10,9,2,14,5,23,"0.04",5,"Rain",95113,"San Jose"
"2/17/2014",61,50,39,10,10,10,16,6,20,"0",3,"",95113,"San Jose"
"2/18/2014",64,54,43,10,10,10,20,4,24,"0",5,"",95113,"San Jose"
"2/19/2014",63,56,49,10,10,7,21,8,23,"0.01",4,"Rain",95113,"San Jose"
"2/20/2014",67,55,42,10,10,10,16,4,17,"0",3,"",95113,"San Jose"
"2/21/2014",72,57,42,10,10,10,15,4,17,"0",1,"",95113,"San Jose"
"2/22/2014",71,57,42,10,10,10,14,5,17,"0",2,"",95113,"San Jose"
"2/23/2014",68,57,45,10,9,5,16,3,20,"0",3,"",95113,"San Jose"
"2/24/2014",73,59,44,10,10,10,15,3,18,"0",1,"",95113,"San Jose"
"2/25/2014",66,55,44,10,8,3,14,6,16,"0",4,"",95113,"San Jose"
"2/26/2014",61,57,52,10,9,3,29,13,40,"0.68",7,"Rain",95113,"San Jose"
"2/27/2014",65,59,52,10,10,9,26,10,36,"0.01",6,"Rain",95113,"San Jose"
"2/28/2014",62,57,52,10,8,2,25,12,35,"0.97",7,"Rain",95113,"San Jose"
"3/1/2014",69,62,54,10,10,10,17,10,25,"0.03",7,"Rain",94107,"San Francisco"
"3/2/2014",61,57,53,10,9,2,20,9,26,"0.02",6,"Rain",94107,"San Francisco"
"3/3/2014",61,56,50,10,10,9,18,6,28,"0.1",7,"Rain",94107,"San Francisco"
"3/4/2014",66,61,55,10,10,7,17,5,,"T",7,"Rain",94107,"San Francisco"
"3/5/2014",66,60,54,10,8,2,20,6,23,"0.26",8,"Rain",94107,"San Francisco"
"3/6/2014",65,58,51,10,9,4,15,8,20,"0.01",6,"Rain",94107,"San Francisco"
"3/7/2014",66,57,48,10,10,9,14,6,24,"0",2,"",94107,"San Francisco"
"3/8/2014",72,59,46,10,10,10,17,4,48,"0",5,"Fog",94107,"San Francisco"
"3/9/2014",71,63,55,10,10,10,13,6,18,"T",7,"Rain",94107,"San Francisco"
